ID;Title;Cesar ID;From_application;To_Application;I/F technology;Strong I/F;Cross ICT Domains
1398;IWDS - Proof reading (AG02) to SIMIC (K350);;IWDS (AG02);SIMIC (K350);;;
1113;A400M CA dispatch;;SAP PDR (N/A);SAP R/3 Corporate_xAC_LDS (B180);;;YES
1131;Military AIR-CAIR;;SAP PDR (N/A);SAP R/3 Corporate_xAC_LDS (B180);;NO;YES
1114;Request for DQN;;SAP SP1 (N/A);SAP R/3 Corporate_xAC_LDS (B180);Other;;YES
1119;CA allocation management;;SAP SP1 (N/A);SAP R/3 Corporate_xAC_LDS (B180);;NO;YES
1121;Equipment allocation management;;SAP SP1 (N/A);SAP R/3 Corporate_xAC_LDS (B180);;NO;YES
1122;Concession management;;SAP SP1 (N/A);SAP R/3 Corporate_xAC_LDS (B180);;NO;YES
1249;Interface Work Orders;;SAP SP1 (N/A);SAP SPA - ERP SP (B050);RFC;NO;
1250;Load BOM;;SAP SP1 (N/A);SAP SPA - ERP SP (B050);RFC;NO;YES
1251;paralel execution. Broken BOM;;SAP SP1 (N/A);SAP SPA - ERP SP (B050);RFC;NO;YES
1252;RFC transfer data OW Management;;SAP SP1 (N/A);SAP SPA - ERP SP (B050);RFC;NO;YES
794;Service Bulletin, CIN, and MSN applicability;198;SMART A400M (N/A);ACC (PA02);File;NO;YES
285;A400M Service Bulletin (SB) Infos ;2179;SMART A400M (N/A);MCT (I531);File;NO;YES
348;AAT Simulation;1627;EDC Rebuilt and Re-ranking (xxxxx);ACC (PA02);;NO;YES
302;Change process pre-formated KPI (multiprogram);1751;EZCM (xxxxx);CM Reporting (G930);File;;YES
270;reports data (A350-A380);1717;iMADE A350 (E382);CM Reporting (G930);Other;;NO
271;reports data (A350-A380);1717;iMADE A380 (E381);CM Reporting (G930);Other;;NO
13;Diagrams type;2380;SIDEV (R320);CIRCE-C-CAO (LC20);File;NO;YES
1635;FIN - DBFIN to Preview Maint;;ACDB (1Q00 and 8W00);GIPSY-AUTHORING (DD) - Preview Maintenance (8R03);Other;NO;NO
1535;ACDB (From ECDB3) to AWL2-AUTH (WB SA LR DD SAT ATR);;ACDB (8W00);AWL2 (8L00);File;NO;NO
1343;ACDB/DBFIN  to GIDOCA (DD + LR + SA + MT) - CDE;;ACDB (8W00);GIDOCA (DD + LR + SA + MT) (8E00);Other;YES;NO
1508;ACDB/DBFIN to SB-CCT;;ACDB (8W00);SB-CCT (DT10);;;
1331;AIDA to SERACH;;AIDA (UI00);Federated Search (I770);File;NO;YES
1050;Master data for Materials parts;;AIDA (UI00);SAP R/3 Corporate_xAC_LDS (B180);;;YES
1193;Data Services;;ASPECT (O910);ACMM (SS10);;;
1548;ASPECT SBCB to ATLAS - Spares Management;;ASPECT SBCB (O91S);ATLAS Spares Management (S350);;;
1549;ASPECT SBCB to CDM;;ASPECT SBCB (O91S);CDM (YI10);;;
1543;ASPECT SBCB to Criteria Master Data Base;;ASPECT SBCB (O91S);Criteria Master Data Base (R739);;;
1544;ASPECT SBCB to DACAS - SB;;ASPECT SBCB (O91S);DACAS (I070);;;
1545;ASPECT SBCB to ELIPS (FCOR);;ASPECT SBCB (O91S);ELIPS (D120);;;
1537;ASPECT SBCB to ISCOM;;ASPECT SBCB (O91S);ISCoM (A661);;;
1546;ASPECT SBCB to SB-COMP (SH20);;ASPECT SBCB (O91S);SB-COMP (SH20);;;
1189;Spares parts data;;ATLAS Spares Management (S350);SAP MM KIT PDA (C249);;;YES
1190;Spares Parts data;;ATLAS Spares Management (S350);SAP R3 Spares (C229);;;YES
1509;ATLAS - Spares Management to SB-COMP (SH20);;ATLAS Spares Management (S350);SB-COMP (SH20);;;
1627;Wiring - AWL2 to AWL2 Prod;;AWL2 (8L00);AWL2 (WB SA LR DD SAT ATR) - Finalization (B2 B4) (8L05);DB2 Exchange Table;YES;NO
1048;Request AWL2 UK data from BCAWD;;AWL2 (8L00);BCAWD (X419);File;YES;YES
1046;Request AWL2 FR data from CIRCE-G;;AWL2 (8L00);CIRCE-G (LC30);File;;YES
1047;Request AWL2 GE data from TAKSY ELSY/GESY;1427;AWL2 (8L00);TAKSY (X010);File;YES;YES
1628;Wiring - AWL2 to WALI;;AWL2 (8L00);WALI AWL Production (B710);File;YES;NO
