DATA;DATA_VIEW
MSN_ALLOCATION;AAT_VIEW
MSN_CA_PN;AS_DEFINE
CA;PROGRAM_CASCADE
CA_CA Link;PROGRAM_CASCADE
CI;PROGRAM_CASCADE
CA_CI_LINK;PROGRAM_CASCADE
CA_CI_LINK Validities;PROGRAM_CASCADE
SPEC_IMPACT;TRS
DEF_IMPACT;MP
MSN_CA;AS_SPECIFIED_BASELINE
MSN_CA;CHAP_024
MSN_CA_LINK;AS_SPECIFIED_BASELINE
MSN_CA_LINK;CHAP_024
MSN_CI;AS_SPECIFIED_BASELINE
MSN_CI;CHAP_024
MSN_CA_CI_LINK;AS_SPECIFIED_BASELINE
MSN_CA_CI_LINK;CHAP_024
MSN_CIN_CA_LINK;AS_SPECIFIED_BASELINE
MSN_CIN_CA_LINK;CIN_CI
MSN_CIN_CI_LINK;AS_SPECIFIED_BASELINE
MSN_CIN_CI_LINK;CIN_CI
