APPLICATION;FUNCTION;FCT_PIN_OUT;FCT_OU_DATA;FCT_OU_USE;FCT_OU_USE_PIN
ICC-CADB;MSN_COMPILATION;20;MSN_CA;MSN_COMPILATION;1
ICC-CADB;MSN_COMPILATION;20;MSN_CA;MSN_COMPILATION;2
ICC-CADB;MSN_COMPILATION;20;MSN_CA;MSN_COMPILATION;8
ICC-CADB;MSN_COMPILATION;21;MSN_CA_LINK;MSN_COMPILATION;1
ICC-CADB;MSN_COMPILATION;21;MSN_CA_LINK;MSN_COMPILATION;3
ICC-CADB;MSN_COMPILATION;22;MSN_CI;MSN_COMPILATION;1
ICC-CADB;MSN_COMPILATION;22;MSN_CI;MSN_COMPILATION;4
ICC-CADB;MSN_COMPILATION;23;MSN_CA_CI_LINK;MSN_COMPILATION;1
ICC-CADB;MSN_COMPILATION;23;MSN_CA_CI_LINK;MSN_COMPILATION;5
ICC-CADB;MSN_COMPILATION;23;MSN_CA_CI_LINK;MSN_COMPILATION;6
ICC-CADB;MSN_COMPILATION;24;MSN_CIN_CA_LINK;MSN_COMPILATION;1
ICC-CADB;MSN_COMPILATION;24;MSN_CIN_CA_LINK;MSN_COMPILATION;2
ICC-CADB;MSN_COMPILATION;24;MSN_CIN_CA_LINK;MSN_COMPILATION;7
ICC-CADB;MSN_COMPILATION;25;MSN_CIN_CI_LINK;MSN_COMPILATION;1
ICC-CADB;MSN_COMPILATION;25;MSN_CIN_CI_LINK;MSN_COMPILATION;4
ICC-CADB;MSN_COMPILATION;25;MSN_CIN_CI_LINK;MSN_COMPILATION;7
